A,B,C,D,E
Z,2.0,R,-1.072139011985607,M
X,84.0,P,-2.9213504834946074,N
Z,,Q,0.4365598041576678,M
,63.0,P,,N
,,R,-2.3629324355418384,M
X,,Q,,O
,9.0,P,0.6191542610051978,M
Y,75.0,P,2.0574954697116987,M
Y,15.0,Q,0.020793707675407894,M
Y,24.0,Q,-0.7280029412291344,M
Y,38.0,P,,M
Y,35.0,R,1.3748764191481848,O
Y,94.0,P,-0.6459641791245353,N
X,95.0,Q,-0.7991920066502536,M
Z,49.0,P,-0.4827435221820324,O
Y,69.0,,-0.9533286082587124,M
Y,62.0,Q,0.12267031599479553,M
Y,,R,1.6246784584695606,N
Y,50.0,Q,0.3230792731160291,M
Y,78.0,,-0.2523535021262876,O
Y,75.0,R,-0.2918112689155441,O
Z,9.0,Q,-1.563190808696657,N
Z,34.0,R,0.883109777147159,M
Y,76.0,R,-0.07783719701280203,O
Z,,Q,-0.18047991359062565,M
X,35.0,Q,3.193107567844861,M
Y,1.0,P,0.29875290836568624,M
X,40.0,R,-0.7517910500951843,N
X,64.0,P,-0.4263575962055433,M
,22.0,Q,1.1484457091967548,O
Z,60.0,P,0.11327041053776446,M
X,64.0,R,-1.4382779783173667,O
,93.0,P,0.9192289345752035,M
X,72.0,R,-0.668144085538994,O
X,11.0,Q,1.8732977762175456,O
X,14.0,Q,1.0800480657146485,M
X,60.0,R,-0.4473218956587512,M
,30.0,Q,1.281016361735113,O
X,35.0,Q,0.0678555105274033,N
X,85.0,Q,0.8527736751222195,M
X,,Q,0.48473281729447476,N
Z,5.0,,-0.8463566549908735,M
X,83.0,P,-0.643549832317462,M
X,,P,1.0299608175811612,M
Z,26.0,Q,-0.33477533210654087,M
Z,62.0,P,,N
Z,4.0,P,-0.955122579349353,M
X,89.0,Q,0.42359906559346105,O
Z,42.0,Q,2.062524919243145,O
Z,89.0,,-1.0675329142542729,N
X,18.0,R,0.02421945667275807,M
Z,40.0,Q,1.4122205554154292,O
X,72.0,R,-0.07964139124571515,N
Y,39.0,P,0.4523717962497339,M
Z,14.0,,,O
Y,32.0,R,0.4283070972076486,O
,51.0,Q,-0.18714426500454878,N
Z,38.0,P,0.985729995679863,M
X,97.0,R,1.1873860515647512,M
Y,23.0,P,2.589563642018614,O
X,63.0,,0.5796331732135757,O
Z,15.0,Q,0.32579631658216646,O
Z,97.0,R,0.19438430157733602,M
Y,,P,-0.35316629281068834,N
,17.0,P,0.33848384346169114,N
Z,97.0,R,-0.29540141013902943,M
Y,66.0,P,0.1684609762696143,N
Z,78.0,P,1.3175975356079597,O
Z,53.0,,-1.0065425652796411,N
X,51.0,,1.1398785611290454,N
Z,39.0,R,1.3171150673398653,N
X,51.0,R,-0.11806852699107874,O
Z,70.0,Q,-2.1218548990085946,M
Y,6.0,R,-0.6078219870944325,O
Z,67.0,Q,1.2969945465611092,M
X,7.0,,-0.022868062298882122,M
X,,Q,-0.9993022322949108,M
,72.0,P,-0.5047749212282174,N
Z,42.0,Q,0.840620026504553,N
,64.0,Q,0.5467335682013793,M
Y,15.0,P,,M
Z,29.0,P,-0.36682441181468756,N
,,P,-0.3917581490438219,O
X,,R,-0.9224101844985025,M
Z,27.0,P,1.6153756894694418,O
,36.0,,,N
Y,,Q,1.2171585208254965,M
Y,38.0,P,1.5213160519224513,O
,57.0,R,0.9983108981479604,O
Z,97.0,P,-0.4316203127180484,O
Z,27.0,R,0.40373009033660945,N
,55.0,,-0.024195606390916165,N
X,33.0,P,-0.9037018607301281,O
X,68.0,,0.324359281721603,O
,86.0,P,-1.1790397911598025,N
X,66.0,R,1.1876793884615637,O
Z,10.0,R,-0.4646172972983931,O
Z,5.0,Q,0.2011596558728393,N
X,74.0,R,0.28328787154614216,O
Z,97.0,P,-0.25890497370407733,O
Z,38.0,Q,0.5866938014752747,O
X,13.0,Q,-0.47490365662252443,N
X,31.0,Q,0.8712972974572442,O
,47.0,P,-1.3459796802467485,N
Z,88.0,R,0.12637957954641182,N
Z,52.0,P,1.9389289990582848,M
Y,56.0,Q,,M
Y,15.0,P,-0.6777449705248515,O
,29.0,P,0.513907849658915,N
X,8.0,R,0.17958178193959795,M
Y,5.0,R,0.3506300992735592,O
X,29.0,,0.4891871301476635,M
X,47.0,P,0.6347214685617699,M
Y,68.0,P,1.1096998419562232,N
Y,76.0,R,0.40981865692851255,N
Y,45.0,P,-0.24125765461854246,M
Z,2.0,P,0.6725737012027313,M
Y,27.0,,1.8998819348952156,N
,95.0,R,-0.13263374638257355,O
X,36.0,Q,-0.9745293046706415,N
,36.0,Q,1.1070806692869728,M
Y,26.0,P,-0.12038116395359824,O
X,43.0,Q,-2.172669546014036,M
X,27.0,R,0.8474216771504216,O
X,69.0,R,-0.5353281859539227,M
Z,20.0,Q,-0.09053328230416077,O
,11.0,Q,0.33198033056901455,O
X,74.0,P,0.1904996797790664,M
X,38.0,,0.7094518171390395,O
X,6.0,P,-0.43548637056984335,N
Z,72.0,P,0.5131057981760827,M
Z,23.0,,-0.2595466775839172,N
Y,47.0,R,0.738810480887503,M
,90.0,R,,O
,46.0,R,-0.9354387020445953,O
,12.0,Q,1.0859821161750323,O
X,90.0,R,-0.535963445114048,M
X,13.0,Q,0.8080577982811451,N
,62.0,R,0.36728731340134063,N
Y,82.0,Q,,M
,89.0,P,-0.22346598237185214,M
Z,,Q,-0.3493167961181975,N
Y,60.0,Q,-0.01941960588773261,N
X,43.0,R,-0.30317978283427544,N
X,76.0,Q,0.7999419019420501,N
,68.0,P,-1.616310608436588,M
X,5.0,P,-1.053682419146354,M
Y,37.0,R,-1.067802921579193,O
,72.0,P,0.9503075919735757,N
,92.0,Q,1.7106133725819253,O
Y,31.0,,-0.1044492185374715,M
Z,9.0,R,-0.16882172319001063,M
X,51.0,Q,0.07005216311318138,O
X,29.0,R,1.1618783026081905,N
X,78.0,Q,-0.9273531341905741,N
X,40.0,P,0.23836898273478513,N
Z,41.0,R,0.9751976297824297,N
X,86.0,R,0.5010941699398452,O
Y,11.0,,0.1895816165987434,O
Y,23.0,R,1.0010460925671412,M
Y,1.0,Q,-2.703232292999237,N
Z,46.0,Q,0.6778753195309076,N
X,21.0,Q,-0.6540756831274238,N
X,90.0,Q,-1.830632896856457,O
X,36.0,P,,N
Z,54.0,Q,1.3736585451629577,O
,87.0,R,-0.13744851462769186,N
Y,57.0,P,0.9528745472029388,N
X,1.0,R,1.6122782579886454,M
,63.0,P,1.3149144535840473,N
Y,54.0,Q,1.639964529371393,N
,55.0,P,0.7421274910718922,M
Z,40.0,P,0.0754336389015928,O
Z,15.0,R,-1.6019658118971685,O
Z,,R,,N
X,47.0,Q,-0.8432465953161917,O
,73.0,P,2.1709427174978138,N
Y,,P,-0.1758858124323366,M
X,9.0,P,,M
Y,74.0,Q,0.5514853760404675,N
Y,52.0,Q,0.043602446372453724,M
Y,57.0,Q,1.695051040430753,M
Z,26.0,Q,-0.622649361734452,N
,,Q,0.1946074552372427,N
X,35.0,,-0.7424705856980482,M
X,63.0,P,-1.3200225112207058,O
Z,25.0,P,-0.6117690909052854,O
Y,90.0,P,-0.03703679704841202,N
X,75.0,,,N
,38.0,P,-0.692420979873856,O
Z,2.0,P,-1.4063174636718339,M
Z,7.0,,-0.08310557262869477,O
Y,82.0,P,-1.5047203740310022,O
Z,91.0,R,0.7600559636896026,O
Z,34.0,,0.08243975293450329,O
Z,91.0,R,-1.4575514994649306,N
Z,17.0,Q,-0.30920907704986345,N
X,43.0,P,-0.7521564055905832,M
X,59.0,Q,,M
Z,51.0,Q,1.3404504460231446,M
Y,54.0,Q,-1.8751724696457446,M
X,24.0,R,0.11502607914741717,O
Z,25.0,Q,-0.1601327955666404,N
X,71.0,Q,0.6713400764504657,N
X,,Q,0.21319662823768915,M
Y,70.0,P,-0.7519693317388191,M
,88.0,P,,O
Z,33.0,R,-0.796025856803489,O
Y,49.0,R,1.0760071385985983,M
Y,29.0,,0.02131164867194222,N
Z,63.0,R,1.9011906857530074,N
Z,22.0,P,-0.060660813814620775,N
Y,26.0,,-0.7084067669104628,M
X,28.0,Q,-1.5137143926128271,N
X,85.0,R,-1.803139676255945,O
Y,49.0,P,-1.5841359430054898,O
X,71.0,P,0.2671266510114834,M
Y,81.0,R,0.5087250232299338,O
X,84.0,P,-1.5811907020321334,M
X,49.0,Q,0.8950383140761154,N
Z,,R,-0.4830610516834395,N
,86.0,R,0.14679301198554937,N
X,92.0,P,1.6122206282554243,O
X,63.0,R,,M
Z,61.0,P,-0.2685306479058323,N
,49.0,P,-0.8911922254152874,M
Z,71.0,P,-2.151815401329305,N
,1.0,P,-0.7191533192424201,O
X,96.0,,-0.21113023882769444,O
Z,13.0,R,-0.987179527151184,M
X,94.0,Q,-0.13125696709230472,O
Y,87.0,Q,,O
Y,51.0,R,-0.22485598180807856,M
Z,56.0,R,-0.6500025808234597,N
Y,83.0,Q,0.16865467196672768,O
X,62.0,Q,0.44194064956940904,M
Z,32.0,Q,-1.090399077442846,O
,30.0,,1.41093237974627,O
X,29.0,Q,-0.09858813228426173,O
Y,49.0,,0.018849622944847662,O
Y,45.0,R,0.7082144232565571,M
,93.0,P,0.23321613126350166,M
Y,30.0,Q,0.9531366339132451,M
Y,16.0,Q,0.2871241652018242,O
Z,40.0,,-0.6124373746404379,O
X,19.0,P,0.36150352520610163,O
,18.0,,,M
X,1.0,Q,0.10855970577652314,O
X,78.0,P,-0.0332299906444608,N
Y,47.0,P,-0.2081168572725397,O
X,66.0,Q,-0.12853751143893075,N
Z,92.0,P,-1.881849045497639,O
Z,,R,-0.5487249077409615,M
X,38.0,R,0.09284490114111471,O
X,51.0,R,,N
Z,,R,-1.0276751409259581,N
Z,4.0,Q,1.2657078408647007,O
Y,1.0,Q,-0.8661748482145009,N
Z,8.0,Q,0.9694572005267368,N
Y,29.0,R,,M
,55.0,R,-0.646227309843803,O
Y,3.0,P,1.775310892609512,O
Y,32.0,P,-1.19363683175648,O
Y,10.0,R,,N
X,74.0,R,1.0005823180429783,O
Z,83.0,R,-0.6706202090766449,O
Y,,R,1.3924653000643288,M
Z,97.0,P,-0.2500465145989528,M
Z,87.0,R,0.28869362927985703,M
Y,55.0,P,0.2603218387712207,N
X,92.0,R,-0.1343087414705478,O
Y,32.0,R,0.8108082731597821,M
X,50.0,,0.793488720552213,M
Z,7.0,P,-1.7485319732381808,M
X,93.0,P,1.3043402428781525,O
X,8.0,Q,,O
X,65.0,R,1.0325462043416573,O
Z,57.0,Q,1.1267051368275833,N
Z,67.0,Q,-1.0909664302151982,N
X,88.0,P,-0.4108142879545848,M
X,87.0,P,-1.1057046684859357,O
Y,,Q,-0.21492103028873533,M
X,72.0,R,-0.30803428418574125,O
Y,54.0,,0.7796605322693398,O
,67.0,R,1.3103087461196083,O
Y,51.0,,1.395683810789956,N
Z,97.0,Q,,N
X,92.0,Q,-0.20922187374452778,O
X,8.0,Q,-1.6834381922209503,M
X,34.0,Q,,O
X,35.0,P,0.9648516330974576,O
Y,96.0,P,1.6155828235482317,M
X,,Q,-1.234348871879922,O
Z,78.0,P,-0.5924642591528942,M
Z,,Q,-0.02640575695892703,N
,46.0,R,0.2801611588196068,N
Z,16.0,,,M
X,68.0,R,0.4240610444640897,N
X,37.0,,-0.47383934707091613,N
Z,54.0,R,-0.014452270878279104,M
X,85.0,P,0.5462842480036996,N
Z,14.0,R,0.0064222698109378164,O
Y,95.0,R,-0.4363858905265686,O
,,R,,M
Y,48.0,P,-0.08836295920533532,N
,82.0,Q,,O
,7.0,P,-0.25879606266710237,O
Y,74.0,Q,1.598647170504717,N
Z,7.0,Q,0.5609194479412387,N
Y,33.0,R,-0.29548031802916036,O
Y,23.0,Q,0.6969544045107356,O
Z,85.0,P,-0.33381948975600995,M
Y,19.0,P,1.1731246375866413,M
,19.0,,0.3696421921980939,O
Y,,R,-0.10730214400422888,M
Z,29.0,R,0.4477169258102776,O
Z,60.0,,-1.5708761520684993,O
Y,82.0,R,-1.1267674689098053,M
Y,2.0,Q,-1.1939250063990554,M
Y,1.0,Q,0.14294309476370676,N
,47.0,P,1.732514999485092,N
X,69.0,Q,2.2313001461926323,N
X,20.0,P,0.6380511014407572,O
Z,11.0,Q,0.5008444749444569,M
Y,2.0,P,-1.801057734152739,O
,67.0,R,-0.5426737997340217,M
X,87.0,Q,-0.7877837519082389,O
Y,12.0,Q,-0.620847598251116,N
Z,20.0,P,-0.1681438185847896,N
,5.0,P,-0.47209057769712737,N
Z,37.0,Q,-1.9792998103757877,O
Y,38.0,P,0.7479102561175338,M
X,94.0,Q,-1.0727430257398065,M
,9.0,R,0.23924686411114954,N
Y,98.0,,2.0740826697499735,N
Z,53.0,Q,-0.9193845915864234,N
X,44.0,R,-2.5302875227463297,N
X,,R,-0.2860042218801108,M
X,,Q,1.100959634998571,O
Y,24.0,P,1.9583474542205939,O
Y,81.0,Q,-1.2295495944524168,O
Z,74.0,R,0.4966992232365217,O
Z,,Q,-0.46531045678005334,N
Z,59.0,P,-0.10594835430413566,N
Y,87.0,R,2.6443433470170348,N
Y,,Q,-1.5029703283951532,O
Z,81.0,P,,N
Z,81.0,R,0.4676931717654332,N
Y,14.0,P,,M
Z,9.0,R,0.09798315347089544,M
X,40.0,Q,0.3080505395041023,N
Y,66.0,P,-0.3916485674217911,M
Z,25.0,R,,M
Y,73.0,,-0.3431922754974105,N
X,22.0,P,0.6215718898560508,N
Y,4.0,Q,-0.36961033604363397,N
Y,26.0,P,0.37710039390218647,N
,58.0,R,-0.029262813684978354,O
Y,29.0,R,1.1260502507721681,O
X,98.0,R,,N
,,,-1.7730324682068814,M
Y,37.0,Q,1.2619215007139917,N
Z,,P,-0.9057323008626189,N
Y,70.0,Q,-0.6537663386488198,M
Z,18.0,P,-0.5956612940434921,O
X,85.0,P,1.3744380931708173,N
X,42.0,,-2.1356742139786955,N
X,41.0,Q,3.1377485336599937,O
X,,,1.0560568090660518,O
Z,34.0,,0.22323891412915967,M
Y,17.0,,-0.05489400061628639,O
X,37.0,R,0.28555407485765694,O
Y,25.0,P,0.5211224283793383,O
Z,76.0,,0.645215585950057,M
Z,87.0,R,0.5556044660034485,O
Z,86.0,Q,0.08958068125524882,O
X,85.0,Q,-0.1973384203073261,M
Y,27.0,P,-0.1512732836535117,O
Y,57.0,,-0.194908280352681,O
Y,31.0,P,1.1337700968670645,M
,6.0,P,0.5935567222808619,N
X,91.0,R,-2.9403886346642802,M
Z,40.0,R,0.655900776529761,O
,98.0,Q,0.19473619471877485,O
Y,12.0,R,-0.018708756445897416,O
Z,,Q,-0.38851845308888583,M
,71.0,,,O
X,10.0,Q,0.9475264621228578,O
Y,45.0,R,-0.7728776678236091,M
X,17.0,P,0.4070522871245351,N
Y,26.0,Q,-0.971656734541286,N
Z,85.0,P,-1.3796181647889305,O
,92.0,,-0.6267172245899651,M
X,62.0,,0.8623934723827588,O
X,46.0,P,0.9531250453760867,M
,64.0,P,0.513085420097293,M
Y,2.0,R,0.7250957868479971,N
Y,54.0,Q,0.5161782871149584,N
X,,P,-0.6414815952229522,M
Z,,R,0.43192254467394064,O
,53.0,P,0.8004095252276823,N
Y,36.0,,0.7542913298135743,O
Y,26.0,Q,1.188913371474643,N
,29.0,P,,N
X,21.0,R,0.3514482075415829,O
X,11.0,P,1.0701502383164274,N
X,40.0,Q,,N
X,,Q,-0.8818746512277178,O
,36.0,R,-0.16306696394376388,N
Z,59.0,Q,-0.7449026448064491,N
,39.0,P,-0.6751782749743815,N
Y,99.0,Q,-0.14451867071551783,O
,54.0,R,-0.7924199209999613,M
Z,98.0,Q,-0.3079615296390403,O
Z,55.0,Q,-1.8936146669537857,M
Y,,Q,0.21329370737293857,N
Z,22.0,,0.0012054753622242368,M
X,69.0,Q,-0.8170886310681906,O
Y,56.0,Q,0.6592456684324051,O
X,33.0,P,0.9375701376265584,N
X,36.0,R,-1.6075598643689741,M
Y,20.0,Q,-0.7627247785662142,N
X,83.0,R,,N
Z,99.0,Q,-0.9399031011088647,O
X,81.0,,0.8294748419317485,M
Y,,,-0.19382613877280352,M
Y,98.0,P,-0.26451484131061076,M
Y,73.0,,-2.0038623644067535,M
X,26.0,P,0.6354180302092264,N
Y,66.0,R,-1.2392583948534726,N
Y,73.0,R,0.05993263026632825,O
X,73.0,P,0.2773769379581917,N
Z,40.0,,1.360658595838651,N
X,17.0,Q,-1.308820399119112,O
,1.0,,-3.0195121558208253,O
Y,89.0,Q,0.18384954475369486,O
X,61.0,P,1.8005111815108537,N
Z,43.0,,1.2389463529394373,N
Y,42.0,P,0.20965941527462578,O
,25.0,R,-0.49163618563204736,O
Y,,,0.8071225966373103,O
X,35.0,P,-0.9735461997044687,N
,3.0,,0.47635776935621926,N
Z,44.0,R,0.5054701591666269,M
,51.0,,1.0602099074988798,N
Y,94.0,P,2.7596600389110777,N
Z,98.0,P,0.39241596717876703,N
Y,12.0,P,-0.5089636257074988,O
,19.0,Q,-0.025574312191994436,N
X,,P,-1.7690759048891183,O
X,,Q,-0.6947131310890582,M
Z,49.0,Q,-0.409282438113104,M
Y,61.0,,-0.5240883979345925,O
X,17.0,R,,O
Z,74.0,P,-0.8224199323822006,O
,,P,1.1210306673244714,N
Z,55.0,Q,0.00020706491819709385,M
X,47.0,,-0.009300321138614417,O
X,12.0,P,-0.32789471651291785,N
X,62.0,Q,0.15519068385897913,M
Z,80.0,P,0.8250982646676347,N
Z,,R,-0.8671302157109003,M
X,83.0,Q,-0.6581164890752567,N
Z,8.0,P,-0.30372602877666466,M
X,95.0,Q,-1.345870923473215,M
X,21.0,P,-0.8192578597214978,N
Y,81.0,P,-0.47622087354465903,O
Z,87.0,Q,0.8743891807127275,M
X,80.0,R,0.26256132900192497,O
,70.0,P,,N
,72.0,P,0.8508979621679722,O
Y,25.0,P,-0.13737178839939665,O
Y,82.0,,0.3904648499288896,O
X,89.0,R,-0.10322175293249623,O
Z,12.0,Q,0.26536234939962844,O
Y,15.0,R,-0.5827586576115821,M
Z,59.0,Q,-2.438817158276429,M
Z,26.0,,-0.13427916218630415,M
X,,,1.42274813609994,N
Y,47.0,,0.9262154022415924,O
X,32.0,R,0.9653974845911707,M
,10.0,Q,1.2361307218062179,N
Y,16.0,R,0.08865759096143744,M
Y,,R,,M
Y,,Q,-0.6176518954343502,O
Y,23.0,P,-0.31607285602704976,N
Z,26.0,Q,0.6157711497711416,O
X,85.0,R,1.2038844371688162,O
Z,86.0,,-0.13944627568099954,M
Y,7.0,Q,-0.4501892648514116,O
X,14.0,,0.0005279588565972928,N
Y,79.0,Q,0.6012067489291149,O
X,7.0,P,-1.4438548161335418,O
Z,9.0,R,-2.296180953137238,O
X,48.0,Q,-0.5505368494915835,M
X,,Q,-1.2207124259141586,N
X,59.0,Q,-0.5081401976473109,M
X,87.0,Q,-0.14778031881747153,M
X,93.0,Q,,M
Y,82.0,R,1.4524675344707454,M
X,95.0,,0.32674476460232005,M
X,94.0,Q,,N
Z,39.0,P,0.6222071440434019,O
X,99.0,R,-1.1388331177807691,M
,18.0,P,1.0391117874202687,M
Y,59.0,R,-0.07576428653545988,N
X,17.0,,,N
Z,14.0,R,-1.0718572330401555,O
Z,31.0,Q,-1.5537587660160643,N
Y,24.0,R,0.8178896580250287,O
X,99.0,Q,0.3764095260975166,M
,,,-0.9020515543575104,M
,45.0,Q,-0.8696630812746944,O
X,98.0,,,N
Z,3.0,P,-1.1894118928673278,O
X,37.0,,1.6426729532559634,N
,43.0,P,-0.9006207346478687,M
X,40.0,P,0.638391925608383,N
Y,90.0,Q,-0.3286184757489846,O
X,55.0,P,0.6031874310823431,O
X,87.0,R,-0.5441140021141926,M
Y,39.0,Q,-0.1627929060722942,N
X,15.0,P,0.04091917539572113,N
Y,4.0,Q,-1.0021874557814727,N
X,93.0,Q,,M
Z,86.0,Q,-0.5132135664715852,N
Z,25.0,P,-0.22859991534001858,O
X,13.0,,-0.9943493746085122,N
X,82.0,,-2.5623336587953105,M
X,33.0,,-0.19102776260016902,N
Z,16.0,,,N
X,42.0,P,0.7846042878980238,O
Z,66.0,P,-0.01926037973439464,N
,55.0,P,-0.2628908292082677,O
Z,99.0,Q,0.02246589281204638,O
Z,,P,0.54711911517521,M
Y,34.0,Q,-1.1808128153088449,O
Z,30.0,,1.114321694668872,O
X,13.0,R,0.7153813154412441,M
X,13.0,P,0.7181857257079345,O
Z,18.0,P,0.4384757388097273,M
X,32.0,,,N
Z,96.0,Q,0.6728612359668199,M
X,99.0,Q,,O
X,39.0,P,-0.3540407109410238,M
Z,,R,-0.573601772896901,O
,,,0.1018562952619867,N
Z,62.0,P,,M
X,93.0,R,-1.2391070756539009,N
,62.0,Q,-1.46752526575244,O
,57.0,Q,,O
Y,16.0,,0.05088770185601806,N
Z,56.0,R,0.1733416643704082,M
Y,10.0,,0.24395319790850026,M
Z,30.0,R,-0.22320225463480511,O
Y,25.0,P,1.4898634386020821,N
X,84.0,R,-1.6009039784765156,N
Z,5.0,,-0.828497024780246,M
Z,65.0,Q,-0.10325476014904739,M
X,94.0,P,-1.6431888111541673,M
Z,49.0,Q,-0.17585440443207118,N
Z,3.0,Q,1.6614701657280182,M
Y,45.0,R,0.020886488295961788,M
Z,14.0,Q,,O
X,30.0,P,-1.2601647651725802,M
Y,68.0,R,-0.6163614080394775,M
Y,,R,-0.375196380323937,N
X,62.0,,-0.31771509675623405,N
,37.0,R,1.2816437950037687,O
Y,25.0,R,0.5576910607251245,M
Z,48.0,P,-1.111457956937032,O
Y,65.0,R,0.24650477843200488,N
X,53.0,,0.49822174849678513,O
Y,79.0,,1.1401490385212665,N
X,73.0,Q,1.5805406865683735,O
Y,15.0,Q,-1.0150941918278686,O
Z,49.0,R,-0.8108575112103382,M
Y,88.0,R,-1.2575778589146163,O
Y,68.0,P,-0.23401985910698136,M
X,12.0,R,0.4663583744463345,M
X,59.0,P,,M
X,37.0,P,,M
Y,61.0,R,-0.31984752325484395,O
Z,43.0,P,0.15175799224874037,N
X,70.0,Q,-0.835142901630023,N
X,39.0,R,2.0895387216947734,N
Y,56.0,Q,,O
X,63.0,,0.18474057889572446,M
,46.0,,2.0236062192296393,N
Z,88.0,R,0.006799844559997769,O
X,11.0,Q,-0.19003903500149447,M
X,62.0,P,-0.3574454228104272,N
Y,77.0,R,-0.18039168176240783,M
Z,98.0,,1.3728484746765302,N
Z,25.0,,-2.211861911329507,N
,71.0,Q,1.5334337012963255,N
Y,52.0,,,M
Z,4.0,R,-0.2666523292344148,O
Z,59.0,,-0.42924442029866183,M
,72.0,P,,N
Y,20.0,Q,-1.5981243518837476,M
Z,93.0,P,0.46217266608194285,O
Z,63.0,Q,2.0243096232868525,M
Y,54.0,R,-1.3631740045928105,O
Z,74.0,Q,0.18970616761039566,O
X,,,-0.6619821777966091,M
,57.0,R,0.42588720619303577,N
Y,90.0,,0.01914777741575206,O
,41.0,Q,-0.6414869090443096,M
Y,3.0,Q,0.487872284871074,O
X,,R,,N
Z,5.0,P,-0.19090379172729868,M
X,5.0,Q,0.7197579421481819,M
Z,54.0,R,-1.2932729578711637,M
X,,Q,-0.9564363768180087,N
Z,87.0,R,,O
X,49.0,P,1.484116028535965,M
Y,,,0.35561334878566,O
X,99.0,P,-0.31305803052315434,O
Z,20.0,,-0.0007085945766459172,N
,61.0,Q,-1.2504077339697175,M
X,35.0,Q,0.6045153263553668,O
X,50.0,P,0.8823330623234091,M
Y,82.0,P,-0.45209033283308037,M
X,62.0,P,-0.4700421477595015,N
Y,17.0,Q,,M
Y,88.0,P,-0.4367197360405955,M
X,3.0,P,-0.06613261462582246,O
X,32.0,P,2.0997217891665154,N
X,99.0,R,-0.24702570074599667,M
Z,13.0,P,-0.3583401520212222,O
X,,R,-0.6475418056351592,N
Y,73.0,,,N
X,68.0,P,-0.181224173218103,O
,14.0,R,-0.649373038321426,O
X,98.0,P,1.321304032273012,O
Z,11.0,Q,1.4196030045136372,O
Z,56.0,,-0.6004235657387051,O
X,,Q,-1.8665399513606162,M
Y,92.0,Q,1.0075136898369221,M
Z,29.0,R,-0.684629825760004,N
X,9.0,P,0.7906255991627686,M
X,,P,-1.9701038177118355,M
Y,25.0,P,0.8925973382993092,M
,98.0,Q,-1.2111719292807812,O
,,Q,0.7307641190665245,N
X,42.0,P,0.014273067836434106,N
X,9.0,,-0.9539394193966448,N
,79.0,P,-0.4070363129267805,N
Y,40.0,P,0.6863184569567008,M
,,P,0.10589445311523424,M
Z,5.0,P,0.5844129804724842,O
X,11.0,P,1.9764405845154855,N
Z,59.0,P,-1.5642416117110514,M
Y,98.0,P,1.617212574968624,M
Y,,Q,,O
X,79.0,P,-0.8987840483231282,O
,38.0,P,-1.3303136257389898,O
Y,72.0,Q,-0.1891203907770335,M
,5.0,,0.9216501119244593,M
Y,48.0,Q,-0.12754912037753421,O
X,90.0,,1.5111549302473475,N
,,R,-1.4511756900515589,O
Z,70.0,R,-0.01208894784605456,O
Y,37.0,Q,-1.252393444413119,O
Z,60.0,R,0.3636318826249679,O
X,48.0,Q,0.8868873900973003,M
X,77.0,P,-0.42076179368105326,N
X,28.0,R,-2.6042138566271342,O
X,69.0,P,0.19894814679649453,N
X,77.0,R,,N
X,81.0,P,0.40429475496169764,N
X,40.0,,,O
Y,45.0,P,-1.0710536796490489,M
Z,96.0,P,0.6802161054504494,O
X,62.0,,1.192507512477975,N
Y,93.0,P,,N
Y,58.0,P,,M
Z,67.0,P,-0.5041798310076715,O
,56.0,R,-0.08152267310164589,N
Z,40.0,R,0.34767648353833636,M
,98.0,P,,N
Y,40.0,P,-0.6757080791616118,M
Y,,R,0.0341524174880246,M
Y,77.0,R,-1.0872459388628026,O
,33.0,P,-1.0858251288851855,N
